DateTime,Open,High,Low,Close,Ticks(from bar),Volume(from bar),Delta_Close,Delta_Close,"Delta, %"
2025-10-24 14:30,6837.75,6839.5,6833.25,6838,29176,41391,2349,2349,5.675146771
2025-10-24 15:00,6837.75,6841,6836.5,6838.25,30418,44432,2794,2794,6.288260713
2025-10-24 15:30,6838.5,6838.75,6823.75,6827.25,92893,170960,-15544,-15544,-9.092185307
2025-10-24 16:00,6827.25,6829.25,6824.25,6827.25,22574,42461,-4967,-4967,-11.69779327
2025-10-24 16:30,6827,6829.5,6824.75,6825.25,4607,7499,-293,-293,-3.907187625
2025-10-26 18:00,6881,6890,6865.75,6877.25,16002,22523,-1263,-1263,-5.607601119
2025-10-26 18:30,6877.5,6879.25,6870.5,6872,4857,5551,-689,-689,-12.41217799
2025-10-26 19:00,6872.25,6876.75,6871,6871.75,3293,3777,-129,-129,-3.415409055
2025-10-26 19:30,6872,6875.25,6868.75,6870.75,2375,2682,-182,-182,-6.785980611
2025-10-26 20:00,6870.75,6876.25,6869.25,6874.25,5298,6236,42,42,0.673508659
2025-10-26 20:30,6874,6876.75,6872.25,6872.25,4202,5065,-83,-83,-1.63869694
2025-10-26 21:00,6872.5,6872.75,6869.5,6872,4057,4750,-346,-346,-7.284210526
2025-10-26 21:30,6871.75,6873.25,6869.25,6869.5,3092,3787,201,201,5.30763137
2025-10-26 22:00,6869.5,6871.25,6867.5,6869.75,2766,3381,39,39,1.15350488
2025-10-26 22:30,6869.75,6875.25,6869.75,6875,2231,2859,331,331,11.57747464
2025-10-26 23:00,6875,6880.75,6874.25,6880.5,3337,4744,540,540,11.38279933
2025-10-26 23:30,6880.5,6881.25,6877,6878.5,2307,2994,-336,-336,-11.22244489
2025-10-27 0:00,6878.25,6880,6877,6879.75,1901,2186,138,138,6.312900274
2025-10-27 0:30,6879.75,6880.5,6878,6879.25,1500,1799,121,121,6.725958866
2025-10-27 1:00,6879,6883.5,6879,6883,2337,2981,359,359,12.04293861
2025-10-27 1:30,6883.25,6883.75,6881.25,6882.75,1669,2067,-37,-37,-1.790033866
2025-10-27 2:00,6883,6888.25,6882.25,6887.75,3724,5001,301,301,6.018796241
2025-10-27 2:30,6887.5,6888,6883.75,6884.5,3033,3906,-528,-528,-13.51766513
2025-10-27 3:00,6884.5,6888.75,6882.75,6887,4578,5891,-265,-265,-4.498387371
2025-10-27 3:30,6887.25,6889,6882.75,6882.75,4522,5778,-1006,-1006,-17.41086881
2025-10-27 4:00,6883,6884.25,6877.25,6878,7759,9193,-649,-649,-7.059719352
2025-10-27 4:30,6878.25,6882.25,6876.5,6881,5308,6925,281,281,4.057761733
2025-10-27 5:00,6881.25,6882.25,6878.75,6879,3574,4396,296,296,6.733393995
2025-10-27 5:30,6879,6887,6879,6887,5205,6938,426,426,6.140098011
2025-10-27 6:00,6887,6887.5,6884,6886.75,3953,5475,-101,-101,-1.844748858
2025-10-27 6:30,6886.75,6888.5,6885.75,6886.5,3858,5278,556,556,10.53429329
2025-10-27 7:00,6886.5,6889,6883.5,6884.25,6296,8816,210,210,2.382032668
2025-10-27 7:30,6884.25,6884.5,6878.75,6880.25,7347,10690,-396,-396,-3.704396632
2025-10-27 8:00,6880,6885.25,6879.25,6882,6863,8918,540,540,6.05516932
2025-10-27 8:30,6882.5,6884.25,6880,6883,6367,8410,146,146,1.736028537
2025-10-27 9:00,6882.75,6886.5,6880.5,6882.75,11947,17512,456,456,2.603928735
2025-10-27 9:30,6883,6889,6877,6886.75,89655,118296,4062,4062,3.433759383
2025-10-27 10:00,6886.75,6892.5,6879.75,6886.5,82684,109222,-4108,-4108,-3.761147022
2025-10-27 10:30,6886.5,6889.75,6881.5,6883,56260,77224,1912,1912,2.475914224
2025-10-27 11:00,6883,6889.75,6881.25,6889.75,42980,58985,3419,3419,5.796388912
2025-10-27 11:30,6889.5,6892.25,6888,6890.25,34001,49947,-681,-681,-1.363445252
2025-10-27 12:00,6890.25,6893.75,6889.75,6891.25,26134,37973,237,237,0.62412767
2025-10-27 12:30,6891.25,6895,6891,6893.75,23385,33344,1364,1364,4.090690979
2025-10-27 13:00,6893.75,6894.25,6887.75,6890.5,25246,36668,-1472,-1472,-4.014399476
2025-10-27 13:30,6890.5,6896,6889.25,6895.5,25624,39222,3642,3642,9.285605018
2025-10-27 14:00,6895.75,6895.75,6893.75,6894.5,21097,32772,586,586,1.788111803
2025-10-27 14:30,6894.75,6898.75,6894.75,6897.5,30445,48103,3575,3575,7.4319689
2025-10-27 15:00,6897.5,6899.25,6896.25,6898.75,28154,43793,3041,3041,6.944032151
2025-10-27 15:30,6898.75,6911.75,6898,6907.5,98072,189965,23497,23497,12.36912063
2025-10-27 16:00,6907.5,6913.75,6907,6913.75,24024,52116,-2972,-2972,-5.70266329
2025-10-27 16:30,6913.75,6916.25,6913.5,6914,6375,15690,-6254,-6254,-39.8597833
2025-10-27 18:00,6914,6914,6910.25,6912.25,2624,3490,-195,-195,-5.58739255
2025-10-27 18:30,6912.25,6913.25,6911,6911.75,1272,1488,-174,-174,-11.69354839
2025-10-27 19:00,6911.5,6917.25,6910.75,6916.75,2714,3226,244,244,7.563546187
2025-10-27 19:30,6916.5,6917.75,6910.75,6911,2578,3151,-307,-307,-9.74293875
2025-10-27 20:00,6910.75,6912,6908.5,6910,3153,3674,-500,-500,-13.60914535
2025-10-27 20:30,6909.75,6911.25,6908.5,6909,2570,2954,-218,-218,-7.379823968
2025-10-27 21:00,6909,6909.75,6906,6907.5,3036,3574,-650,-650,-18.18690543
2025-10-27 21:30,6907.75,6910.25,6906.5,6907.25,2729,3256,-52,-52,-1.597051597
2025-10-27 22:00,6907.25,6909.25,6907,6908,1849,2105,-53,-53,-2.517814727
2025-10-27 22:30,6908,6908.5,6905.25,6907.75,2133,2472,-258,-258,-10.4368932
2025-10-27 23:00,6907.75,6909.25,6906,6907.25,1587,1842,-228,-228,-12.37785016
2025-10-27 23:30,6907.25,6910,6906.5,6908.25,1840,2108,56,56,2.65654649
2025-10-28 0:00,6908,6909,6905.5,6906,1849,2071,-225,-225,-10.86431676
2025-10-28 0:30,6906.25,6906.75,6904.75,6905,1773,2176,-282,-282,-12.95955882
